text,labels,is_ood
i need a forecast for jetmore  massachusetts in 1 hour and 1 second from now,GetWeather,0
please let me know the weather forcast of stanislaus national forest far in nine months,GetWeather,0
show me the picture creatures of light and darkness,SearchCreativeWork,0
search for the adventures of cookie & cream,SearchCreativeWork,0
play hell house song,SearchCreativeWork,0
i d like to see the show onion sportsdome ,SearchCreativeWork,0
what s the weather in my current spot the day after tomorrow,GetWeather,0
find a video game called victory march,SearchCreativeWork,0
find a novel called industry ,SearchCreativeWork,0
what is the weather like in the city of frewen in the country of venezuela,GetWeather,0
will it be colder in ohio,GetWeather,0
what is the weather not far from upper klamath national wildlife refuge,GetWeather,0
will it storm in charles pinckney national historic site,GetWeather,0
please find the movie dancing girl,SearchCreativeWork,0
find resurrection of evil ,SearchCreativeWork,0
find playstation官方杂志  a song,SearchCreativeWork,0
find young miss holmes,SearchCreativeWork,0
is it supposed to rain nearby my current location at 0 o clock,GetWeather,0
show me the painting called fool for love ,SearchCreativeWork,0
find a video game called a stroll in the pork,SearchCreativeWork,0
what is the weather supposed to be like in new jersey three months from now,GetWeather,0
find the song called international journal of bilingualism,SearchCreativeWork,0
i m looking for the trailer of highlands today,SearchCreativeWork,0
search for police women of cincinnati,SearchCreativeWork,0
find the they came from somewhere else saga,SearchCreativeWork,0
i want to watch the television show naked ii,SearchCreativeWork,0
show the three tales album,SearchCreativeWork,0
i d like to see the saga tamagotchi 64: minna de tamagotchi world,SearchCreativeWork,0
will it be warmer now in covenant life,GetWeather,0
what is the picture called lest we forget: the best of,SearchCreativeWork,0
find a photograph called call on me ,SearchCreativeWork,0
find an art called cassidy ,SearchCreativeWork,0
will it be humid in beedeville on november 20,GetWeather,0
please look up the falls church news-press album ,SearchCreativeWork,0
find a television show called merced sun-star ,SearchCreativeWork,0
can you pull up channel m news,SearchCreativeWork,0
find a song called be quick or be dead ,SearchCreativeWork,0
what is the weather in sint maarten,GetWeather,0
find me the picture entitled i’ll take care of you ,SearchCreativeWork,0
weather for close-by parc national de kolkheti,GetWeather,0
what will the weather be like 19 minutes from now in nepal,GetWeather,0
what s the weather forecast for moss hill,GetWeather,0
what will the weather be like not far from alabama on may 9  2037,GetWeather,0
ethiopia ellenton has snow weather at eight pm,GetWeather,0
find jono and ben,SearchCreativeWork,0
find the boys in the band ,SearchCreativeWork,0
i d like to find the soundtrack tianjin today evening news,SearchCreativeWork,0
show the philosophy and phenomenological research saga,SearchCreativeWork,0
wish to hear the album since i saw you last,SearchCreativeWork,0
find a novel called east liberty,SearchCreativeWork,0
show creativity of all for one,SearchCreativeWork,0
what s the weather going to be in 7 hours in fm,GetWeather,0
where can i find the photograph of mr blobby,SearchCreativeWork,0
what is the forecast for cold temps in nevada,GetWeather,0
find the show go with the flow,SearchCreativeWork,0
book a restaurant on june the fifth in cavour ,GetWeather,0
give me the weather forecast for lower lake on sep  21  2038,GetWeather,0
looking for video game for those who would walk with the gods,SearchCreativeWork,0
what will the weather be at my current location on december the 2nd  2029,GetWeather,0
find the hundred-foot journey,SearchCreativeWork,0
find the magical world of roger whittaker,SearchCreativeWork,0
find me the seven-ups,SearchCreativeWork,0
what is the forecast for temperate weather in bellechester,GetWeather,0
